id_cliente,nombre,email,genero,fecha_nacimiento,ciudad,segmento,motivo_rechazo
60,Paula Vásquez Flores,paula.vasquez.flores4@example.com,M,10/06/1992,La Libertad,,segmento_vacio
62,Juan Castillo Aguilar,juan.castillo.aguilar6@gmail.com,Fem,02-06-1950,L. Libertad,,segmento_vacio
69,Juan Pérez Rojas,juan.perez.rojas6@mail.com,,13-03-1987, San Miguel ,,"genero_vacio,segmento_vacio"
71,Juan Aguilar Morales,juan.aguilar.morales1@seguro.sv,,1978-03-30,SS,,"genero_vacio,segmento_vacio"
72,Luis García Pérez,luis.garcia.perez2@gmail.com,Hombre,09-02-64, La Libertad ,,segmento_vacio
75,Luis Aguilar García,luis.aguilar.garcia5@mail.com,,1948-03-08,san miguel,,"genero_vacio,segmento_vacio"
76,Juan Santos Ortiz,juan.santos.ortiz6@mail.com,,05-23-90,La Libertad,Regular,genero_vacio
78,Fernanda Vásquez Hernández,fernanda.vasquez.hernandez1@correo.com,,2008/06/01, Sonsonate,,"genero_vacio,segmento_vacio"
83,Andrés Flores Ramírez,andres.flores.ramirez6@example.com,,2007-09-23, San Miguel ,PYME,genero_vacio
85,Luis Flores Castillo,luis.flores.castillo1@seguro.sv,,08/06/1969,SantaAna,,"genero_vacio,segmento_vacio"
86,Diego Mendoza Ortiz,diego.mendoza.ortiz2@mail.com,,1999-12-07,La Libertad,PYME,genero_vacio
88,Carmen Torres Chávez,carmen.torres.chavez4@mail.com,,2001-11-13,SantaAna,,"genero_vacio,segmento_vacio"
89,Lucía Mendoza García,lucia.mendoza.garcia5@example.com,Masculino,07-04-75,Santa Ana,,segmento_vacio
91,Valeria Ramírez Gómez,valeria.ramirez.gomez0@mail.com,Fem,16-01-1994, La Libertad ,,segmento_vacio
98,Karla Martínez Reyes,karla.martinez.reyes0@gmail.com,m,29-11-1945,S. Miguel,,segmento_vacio
100,Carlos Ortiz Morales,carlos.ortiz.morales2@correo.com,m,1997/09/23,SanSalvador,,segmento_vacio
105,Sofía Vásquez Santos,sofia.vasquez.santos0@example.com,,1979/07/12,Sonsonate ,Premium,genero_vacio
110,Ricardo Chávez Torres,ricardo.chavez.torres5@mail.com,Female,21/06/1940, Santa Ana ,,segmento_vacio
111,Daniela Rojas Hernández,daniela.rojas.hernandez6@example.com,M,2009-08-19,SantaAna,,segmento_vacio
113,Carlos Rojas López,carlos.rojas.lopez1@gmail.com,,27/02/1995, San Salvador ,REGULAR,genero_vacio
124,Pedro Morales Santos,pedro.morales.santos5@seguro.sv,femenino,11-27-42,La Libertad,,segmento_vacio
126,Daniela Morales Ortiz,daniela.morales.ortiz0@example.com,,25/07/1950,Sonso,PYME,genero_vacio
127,Sofía Hernández Pérez,sofia.hernandez.perez1@seguro.sv,M,08-23-46,San Miguel,,segmento_vacio
129,Luis Cruz Aguilar,luis.cruz.aguilar3@gmail.com,femenino,11-05-1942,sonsonate,,segmento_vacio
134,Karla Ortiz García,karla.ortiz.garcia1@gmail.com,Mujer,01/02/1985, Santa Ana ,,segmento_vacio
135,Marta Santos Martínez,marta.santos.martinez2@gmail.com,Female,18/07/1942,Sonsonate ,,segmento_vacio
136,Ana Aguilar Ortiz,ana.aguilar.ortiz3@example.com,,26/12/1965,L. Libertad,PYME,genero_vacio
140,Carmen Reyes Santos,carmen.reyes.santos0@correo.com,,2004/09/10,LaLibertad,Regular,genero_vacio
143,Valeria Vásquez Morales,valeria.vasquez.morales3@mail.com,Mujer,1972/10/30,Sta. Ana,,segmento_vacio
145,José Morales Vásquez,jose.morales.vasquez5@gmail.com,femenino,25/04/2011, Santa Ana ,,segmento_vacio
146,Lucía Mendoza Martínez,lucia.mendoza.martinez6@example.com,,1944/01/24,la libertad,,"genero_vacio,segmento_vacio"
147,Daniela Pérez Reyes,daniela.perez.reyes0@seguro.sv,Mujer,01-01-95,Sonso,,segmento_vacio
154,Fernanda Castillo Cruz,fernanda.castillo.cruz0@correo.com,,09-13-66,L. Libertad,,"genero_vacio,segmento_vacio"
155,Valeria Castillo Hernández,valeria.castillo.hernandez1@seguro.sv,,06-13-91,Sta. Ana,VIP,genero_vacio
156,Carlos García Vásquez,carlos.garcia.vasquez2@seguro.sv,Masculino,08/09/1979,Sonso,,segmento_vacio
159,Andrés Aguilar Aguilar,andres.aguilar.aguilar5@example.com,femenino,05-12-98,San Salvador,,segmento_vacio
163,Ana Reyes Castillo,ana.reyes.castillo2@correo.com,Fem,1990/12/09,LaLibertad,,segmento_vacio
164,Marta García Morales,marta.garcia.morales3@correo.com,,01-16-00,Santa Ana,Regular,genero_vacio
167,Carlos Vásquez Torres,carlos.vasquez.torres6@correo.com,,24/10/1959, La Libertad ,REGULAR,genero_vacio
172,Lucía Flores López,lucia.flores.lopez4@mail.com,F,28-11-2006,San Miguel,,segmento_vacio
174,Lucía Morales García,lucia.morales.garcia6@gmail.com,Fem,04-01-01,San salvador,,segmento_vacio
178,Juan Morales Chávez,juan.morales.chavez3@mail.com,Fem,1961/01/08,san miguel,,segmento_vacio
181,Pedro Morales Mendoza,pedro.morales.mendoza6@seguro.sv,Fem,08-05-68,la libertad,,segmento_vacio
182,Ricardo Cruz Cruz,ricardo.cruz.cruz0@correo.com,,1966-12-24,Sonsonate ,Pyme,genero_vacio
184,Fernanda Ramírez Martínez,fernanda.ramirez.martinez2@gmail.com,Mujer,1964-01-31,San salvador,,segmento_vacio
187,Fernanda Vásquez Castillo,fernanda.vasquez.castillo5@seguro.sv,,1963-06-19,L. Libertad,PREMIUM,genero_vacio
188,Pedro Reyes Rojas,pedro.reyes.rojas6@correo.com,Fem,1944-02-07, San Miguel ,,segmento_vacio
189,Jorge Rojas Castillo,jorge.rojas.castillo0@correo.com,,1953/09/03,SantaAna,,"genero_vacio,segmento_vacio"
190,Marta Flores Aguilar,marta.flores.aguilar1@seguro.sv,,29/11/2004,san miguel,Premium,genero_vacio
197,Lucía Ortiz Aguilar,lucia.ortiz.aguilar1@correo.com,M,12-01-1945,L. Libertad,,segmento_vacio
198,José Mendoza Martínez,jose.mendoza.martinez2@gmail.com,,08-11-60,San Salvador,Regular,genero_vacio
201,María Mendoza Vásquez,maria.mendoza.vasquez5@correo.com,M,10-25-44, Sonsonate,,segmento_vacio
202,Lucía Reyes López,lucia.reyes.lopez6@seguro.sv,,20/11/1996, San Miguel ,Pyme,genero_vacio
205,Pedro Flores Hernández,pedro.flores.hernandez2@seguro.sv,,1951/11/20, Sonsonate,Pyme,genero_vacio
210,Luis Castillo López,luis.castillo.lopez0@gmail.com,,07-02-75,L. Libertad,Pyme,genero_vacio
211,Karla Pérez Castillo,karla.perez.castillo1@correo.com,,10-07-68,SantaAna,REGULAR,genero_vacio
212,Carlos Aguilar Santos,carlos.aguilar.santos2@seguro.sv,Female,25-02-2010,San Miguel,,segmento_vacio
215,Paula Torres Aguilar,paula.torres.aguilar5@gmail.com,,1992/03/26,SS,,"genero_vacio,segmento_vacio"
217,Marta Rojas Hernández,marta.rojas.hernandez0@correo.com,Hombre,1940/12/11, Sonsonate,,segmento_vacio
222,Fernanda Rojas Chávez,fernanda.rojas.chavez5@correo.com,Fem,19-10-1960,La Libertad,,segmento_vacio
224,Fernanda Gómez Vásquez,fernanda.gomez.vasquez0@mail.com,Female,30-03-1969,Sonso,,segmento_vacio
225,Lucía Torres Morales,lucia.torres.morales1@example.com,,1992/08/29,Sta. Ana,,"genero_vacio,segmento_vacio"
226,Jorge García Pérez,jorge.garcia.perez2@example.com,M,05/02/1968,san miguel,,segmento_vacio
227,Lucía Rojas Torres,lucia.rojas.torres3@seguro.sv,Fem,14-05-1952,sonsonate,,segmento_vacio
229,Luis Ramírez Morales,luis.ramirez.morales5@seguro.sv,,19-05-1990,LaLibertad,PYME,genero_vacio
230,Carmen García Santos,carmen.garcia.santos6@correo.com,Female,1942-10-08,san miguel,,segmento_vacio
232,Valeria Ortiz Vásquez,valeria.ortiz.vasquez1@mail.com,,1988/08/17,SantaAna,vip,genero_vacio
233,Diego Castillo Martínez,diego.castillo.martinez2@mail.com,,1980-05-06,santa ana,,"genero_vacio,segmento_vacio"
234,Pedro Torres Rojas,pedro.torres.rojas3@correo.com,Masculino,1954-11-21,Sonso,,segmento_vacio
237,Lucía Aguilar Pérez,lucia.aguilar.perez6@seguro.sv,,21-10-1991,San Salvador,Pyme,genero_vacio
239,María Ortiz Morales,maria.ortiz.morales1@correo.com,,07-17-59,S. Miguel,REGULAR,genero_vacio
245,José Reyes Vásquez,jose.reyes.vasquez0@correo.com,m,05/11/1966, San Salvador ,,segmento_vacio
247,Sofía García Hernández,sofia.garcia.hernandez2@gmail.com,,07-23-52,L. Libertad,Premium,genero_vacio
257,Ana Reyes Rojas,ana.reyes.rojas5@example.com,Mujer,1964-05-26,LaLibertad,,segmento_vacio
261,Daniela Martínez Gómez,daniela.martinez.gomez2@mail.com,,1960-01-09,L. Libertad,Regular,genero_vacio
269,Marta Rojas Hernández,marta.rojas.hernandez3@correo.com,,01-30-88,L. Libertad,vip,genero_vacio
271,Pedro Morales Mendoza,pedro.morales.mendoza5@example.com,Fem,1944-05-23,LaLibertad,,segmento_vacio
276,Valeria Chávez Pérez,valeria.chavez.perez3@gmail.com,Masculino,02-09-43,LaLibertad,,segmento_vacio
279,Carmen López Reyes,carmen.lopez.reyes6@example.com,F,27-07-1993,Sonso,,segmento_vacio
281,Pedro Gómez Gómez,pedro.gomez.gomez1@example.com,Mujer,1961-03-22, San Miguel ,,segmento_vacio
283,María Martínez Cruz,maria.martinez.cruz3@gmail.com,,1993-12-23, San Miguel ,PREMIUM,genero_vacio
286,Luis Gómez Rojas,luis.gomez.rojas6@seguro.sv,m,01-15-11, Santa Ana ,,segmento_vacio
291,Andrés Gómez Rojas,andres.gomez.rojas4@example.com,Hombre,27-03-1984,SanSalvador,,segmento_vacio
293,María Reyes Gómez,maria.reyes.gomez6@mail.com,Hombre,1973-09-07, San Miguel ,,segmento_vacio
299,Lucía Vásquez Gómez,lucia.vasquez.gomez5@seguro.sv,,12-29-79,Sta. Ana,,"genero_vacio,segmento_vacio"
300,Juan Pérez Hernández,juan.perez.hernandez6@gmail.com,,1947/09/09, Santa Ana ,VIP,genero_vacio
303,Carmen Gómez Ramírez,carmen.gomez.ramirez2@mail.com,,2012-07-12,la libertad,Premium,genero_vacio
304,Karla Flores Reyes,karla.flores.reyes3@mail.com,M,25-03-2005,Sonsonate ,,segmento_vacio
306,Andrés Pérez Pérez,andres.perez.perez5@mail.com,M,1990/10/31,SS,,segmento_vacio
310,Luis Castillo Chávez,luis.castillo.chavez2@example.com,,2009/06/10,San salvador,PYME,genero_vacio
318,Lucía Vásquez Chávez,lucia.vasquez.chavez3@example.com,m,1962/08/10,Sonsonate ,,segmento_vacio
321,Daniela Cruz Martínez,daniela.cruz.martinez6@gmail.com,,04-04-12,Santa Ana,PYME,genero_vacio
326,Ricardo Martínez Santos,ricardo.martinez.santos4@mail.com,,23/01/1992,Sonsonate,Pyme,genero_vacio
327,Daniela Castillo Rojas,daniela.castillo.rojas5@correo.com,Fem,06/11/1944,SanMiguel,,segmento_vacio
328,Paula Pérez Reyes,paula.perez.reyes6@mail.com,,03-16-04,Sta. Ana,VIP,genero_vacio
330,Karla Rojas Rojas,karla.rojas.rojas1@seguro.sv,,1976-03-10, San Salvador ,PREMIUM,genero_vacio
336,José López Martínez,jose.lopez.martinez0@seguro.sv,,2001-11-17,Sonso,PYME,genero_vacio
337,Luis Ramírez López,luis.ramirez.lopez1@mail.com,m,1967/01/05, San Miguel ,,segmento_vacio
339,Karla Ramírez Flores,karla.ramirez.flores3@example.com,,12-07-86,Santa Ana,,"genero_vacio,segmento_vacio"
344,María Vásquez Reyes,maria.vasquez.reyes1@seguro.sv,,05-28-56,LaLibertad,Pyme,genero_vacio
345,Carmen Hernández Pérez,carmen.hernandez.perez2@correo.com,M,16-06-2002,Sonsonate ,,segmento_vacio
348,Marta Mendoza Mendoza,marta.mendoza.mendoza5@mail.com,,29/09/2001,L. Libertad,Pyme,genero_vacio
352,Ricardo López Hernández,ricardo.lopez.hernandez2@gmail.com,Hombre,1976-03-11, San Salvador ,,segmento_vacio
354,Marta Ortiz Torres,marta.ortiz.torres4@example.com,,1993-10-28,San salvador,VIP,genero_vacio
357,Andrés Martínez Santos,andres.martinez.santos0@seguro.sv,,1951/01/20,sonsonate,PYME,genero_vacio
358,Ana Mendoza Martínez,ana.mendoza.martinez1@gmail.com,,1989/08/19, Santa Ana ,Premium,genero_vacio
365,Pedro Chávez Hernández,pedro.chavez.hernandez1@gmail.com,Masculino,1995/04/10,la libertad,,segmento_vacio
370,Luis Reyes Torres,luis.reyes.torres6@gmail.com,m,07-24-44, La Libertad ,,segmento_vacio
373,Sofía Torres Mendoza,sofia.torres.mendoza2@mail.com,M,08-08-82,la libertad,,segmento_vacio
375,Ana Mendoza Vásquez,ana.mendoza.vasquez4@seguro.sv,,1986-02-20,san miguel,REGULAR,genero_vacio
381,Karla García Castillo,karla.garcia.castillo3@seguro.sv,,2008-08-27,la libertad,,"genero_vacio,segmento_vacio"
384,Carlos Ramírez Vásquez,carlos.ramirez.vasquez6@gmail.com,Fem,30/12/1958,santa ana,,segmento_vacio
386,Carlos García Flores,carlos.garcia.flores1@gmail.com,,10-22-48,san miguel,PREMIUM,genero_vacio
387,José Castillo Torres,jose.castillo.torres2@example.com,,06-04-1946, San Miguel ,Regular,genero_vacio
388,Jorge Pérez Santos,jorge.perez.santos3@example.com,,08/11/1990,SS,PREMIUM,genero_vacio
389,Diego Rojas Flores,diego.rojas.flores4@example.com,,01-04-1972,L. Libertad,Regular,genero_vacio
396,Ricardo Chávez Martínez,ricardo.chavez.martinez4@example.com,M,1943/07/31,S. Miguel,,segmento_vacio
398,Diego Mendoza Morales,diego.mendoza.morales6@example.com,,29-08-1971,Sonsonate,,"genero_vacio,segmento_vacio"
400,Karla Hernández Cruz,karla.hernandez.cruz1@mail.com,,13-03-1977,la libertad,,"genero_vacio,segmento_vacio"
403,Carlos García Ramírez,carlos.garcia.ramirez4@seguro.sv,,19/04/1980,SantaAna,,"genero_vacio,segmento_vacio"
404,Luis Santos Gómez,luis.santos.gomez5@example.com,Fem,11-29-95, La Libertad ,,segmento_vacio
407,Ricardo Pérez Torres,ricardo.perez.torres1@seguro.sv,Hombre,19-05-1988,San Miguel,,segmento_vacio
409,Valeria Aguilar Cruz,valeria.aguilar.cruz3@gmail.com,,07-09-47,Santa Ana,VIP,genero_vacio
410,Jorge Mendoza Hernández,jorge.mendoza.hernandez4@example.com,,11-07-30,San salvador,Pyme,genero_vacio
412,Fernanda Ortiz Aguilar,fernanda.ortiz.aguilar6@gmail.com,,01-13-56, San Miguel ,REGULAR,genero_vacio
415,María García Flores,maria.garcia.flores2@gmail.com,F,23-11-1959, La Libertad ,,segmento_vacio
416,Carlos Torres Martínez,carlos.torres.martinez3@seguro.sv,,2009-05-27, Santa Ana ,Regular,genero_vacio
420,Karla Ramírez Chávez,karla.ramirez.chavez0@example.com,Fem,28-03-1976,Sonsonate,,segmento_vacio
422,Lucía Santos Aguilar,lucia.santos.aguilar2@example.com,,28-01-2009,Sonsonate,PYME,genero_vacio
434,Sofía Pérez Pérez,sofia.perez.perez0@correo.com,,07-06-1982, Santa Ana ,,"genero_vacio,segmento_vacio"
436,Sofía Flores Aguilar,sofia.flores.aguilar2@example.com,Female,07-04-96, San Miguel ,,segmento_vacio
439,Luis Gómez Reyes,luis.gomez.reyes5@gmail.com,,1977-11-04,San salvador,REGULAR,genero_vacio
442,Carmen Morales Hernández,carmen.morales.hernandez1@seguro.sv,Hombre,1948-07-28,SanSalvador,,segmento_vacio
445,Fernanda Chávez Pérez,fernanda.chavez.perez4@gmail.com,Mujer,02-08-2002,Sonsonate ,,segmento_vacio
446,Fernanda Castillo Vásquez,fernanda.castillo.vasquez5@mail.com,,03-18-83,SanMiguel,Regular,genero_vacio
453,Valeria Pérez Chávez,valeria.perez.chavez5@mail.com,,05/02/2030,SanMiguel,Regular,genero_vacio
455,María Ortiz Aguilar,maria.ortiz.aguilar0@example.com,,1956-04-16,San salvador,Pyme,genero_vacio
458,Pedro Martínez Ramírez,pedro.martinez.ramirez3@seguro.sv,femenino,1950-02-17,Sta. Ana,,segmento_vacio
459,José Morales Cruz,jose.morales.cruz4@gmail.com,,1940/10/19,Sta. Ana,vip,genero_vacio
462,Lucía Vásquez Pérez,lucia.vasquez.perez0@seguro.sv,,1962/06/28, San Miguel ,PYME,genero_vacio
466,Daniela Aguilar Ortiz,daniela.aguilar.ortiz4@example.com,,10-29-53,San Salvador,,"genero_vacio,segmento_vacio"
468,Jorge Morales Aguilar,jorge.morales.aguilar6@gmail.com,Female,1987-03-05,san miguel,,segmento_vacio
469,María López Ramírez,maria.lopez.ramirez0@mail.com,,1998-10-30, San Miguel ,Pyme,genero_vacio
471,José Cruz Ortiz,jose.cruz.ortiz2@gmail.com,m,27/07/1974,sonsonate,,segmento_vacio
474,Fernanda Reyes Vásquez,fernanda.reyes.vasquez5@seguro.sv,femenino,1976/12/28, Santa Ana ,,segmento_vacio
475,Sofía Morales Ortiz,sofia.morales.ortiz6@seguro.sv,,19-10-2006,San Salvador,Regular,genero_vacio
478,Luis Pérez Flores,luis.perez.flores2@correo.com,Masculino,12-06-72,San Miguel,,segmento_vacio
479,Lucía Santos Ramírez,lucia.santos.ramirez3@example.com,,15/11/2005, La Libertad ,vip,genero_vacio
481,Andrés Hernández Cruz,andres.hernandez.cruz5@gmail.com,F,28-01-2007,SS,,segmento_vacio
483,Karla Santos Mendoza,karla.santos.mendoza0@example.com,,30/01/1948,Sta. Ana,vip,genero_vacio
484,Ricardo Santos Martínez,ricardo.santos.martinez1@mail.com,,1989/03/05,la libertad,Premium,genero_vacio
490,Ricardo López Reyes,ricardo.lopez.reyes0@correo.com,Masculino,1958/10/01,Sonso,,segmento_vacio
491,Ricardo Torres Pérez,ricardo.torres.perez1@mail.com,,2002/05/11,Sonsonate,Regular,genero_vacio
494,Ricardo Torres Ortiz,ricardo.torres.ortiz4@gmail.com,,1947/11/24,San Salvador,PREMIUM,genero_vacio
496,Diego Mendoza Flores,diego.mendoza.flores6@example.com,,2012-11-02,Sonso,PREMIUM,genero_vacio
498,Jorge Pérez Rojas,jorge.perez.rojas1@example.com,,1968/01/10,santa ana,Premium,genero_vacio
503,Pedro García Aguilar,pedro.garcia.aguilar6@gmail.com,,01-11-52,SantaAna,PYME,genero_vacio
511,Ana Gómez Chávez,ana.gomez.chavez0@correo.com,,1992-12-16,S. Miguel,Premium,genero_vacio
512,José García Hernández,jose.garcia.hernandez1@example.com,M,2003/05/11, La Libertad ,,segmento_vacio
516,Sofía Santos Aguilar,sofia.santos.aguilar5@mail.com,Mujer,1980/09/15,San salvador,,segmento_vacio
521,Valeria Reyes Mendoza,valeria.reyes.mendoza3@correo.com,Mujer,1977-02-13, San Salvador ,,segmento_vacio
522,María Aguilar Torres,maria.aguilar.torres4@example.com,,2010/09/17,S. Miguel,,"genero_vacio,segmento_vacio"
523,Jorge Torres Vásquez,jorge.torres.vasquez5@seguro.sv,Hombre,21-08-1951,la libertad,,segmento_vacio
526,Carlos Castillo Mendoza,carlos.castillo.mendoza1@mail.com,M,05-05-89,SanMiguel,,segmento_vacio
528,Ricardo Pérez Chávez,ricardo.perez.chavez3@seguro.sv,,1988-03-04,Sonso,,"genero_vacio,segmento_vacio"
531,Juan Flores Rojas,juan.flores.rojas6@correo.com,femenino,15-10-1947,san miguel,,segmento_vacio
533,Daniela Pérez Ramírez,daniela.perez.ramirez1@gmail.com,Female,07-06-70,Santa Ana,,segmento_vacio
534,Luis Ramírez Martínez,luis.ramirez.martinez2@gmail.com,M,1981-03-18,San Miguel,,segmento_vacio
542,Diego Cruz Pérez,diego.cruz.perez3@example.com,,07/05/1995,S. Miguel,PYME,genero_vacio
543,Ricardo López García,ricardo.lopez.garcia4@seguro.sv,,23/08/1982,S. Miguel,,"genero_vacio,segmento_vacio"
544,Jorge Pérez Mendoza,jorge.perez.mendoza5@mail.com,femenino,1949/03/26,SS,,segmento_vacio
548,Carlos Morales García,carlos.morales.garcia2@gmail.com,,09-02-93,La Libertad,vip,genero_vacio
551,María Santos López,maria.santos.lopez5@seguro.sv,Fem,11-10-94,SS,,segmento_vacio
555,Ricardo Rojas Pérez,ricardo.rojas.perez2@seguro.sv,,1947/08/06, La Libertad ,Premium,genero_vacio
556,Paula Mendoza Rojas,paula.mendoza.rojas3@seguro.sv,femenino,11/07/1989,SantaAna,,segmento_vacio
558,Juan Martínez Santos,juan.martinez.santos5@mail.com,Mujer,10-05-1983,San salvador,,segmento_vacio
559,Valeria Chávez Mendoza,valeria.chavez.mendoza6@gmail.com,M,07/01/1947,La Libertad,,segmento_vacio
567,José Martínez Gómez,jose.martinez.gomez0@example.com,,1981/08/17,SantaAna,Pyme,genero_vacio
568,Ricardo Flores Pérez,ricardo.flores.perez1@mail.com,Female,03-08-1987,L. Libertad,,segmento_vacio
573,Karla Ramírez Torres,karla.ramirez.torres6@mail.com,M,1997/03/30,SantaAna,,segmento_vacio
575,Valeria Gómez García,valeria.gomez.garcia1@seguro.sv,,11-16-64,SS,Regular,genero_vacio
577,Luis Ortiz Rojas,luis.ortiz.rojas3@mail.com,,08-05-59,San Salvador,vip,genero_vacio
579,Luis Reyes Morales,luis.reyes.morales5@seguro.sv,,25-12-2030,La Libertad,,"genero_vacio,segmento_vacio"
583,Pedro Aguilar García,pedro.aguilar.garcia2@correo.com,Fem,1996-10-08,Santa Ana,,segmento_vacio
584,Diego Aguilar Morales,diego.aguilar.morales3@example.com,,1945/08/26,La Libertad,VIP,genero_vacio
585,Marta Martínez Reyes,marta.martinez.reyes4@seguro.sv,M,03/09/2010,Sonsonate ,,segmento_vacio
586,Luis Santos Cruz,luis.santos.cruz5@correo.com,,1946-06-18, La Libertad ,VIP,genero_vacio
587,Diego Pérez López,diego.perez.lopez6@example.com,M,15-06-1955,sonsonate,,segmento_vacio
591,Diego Santos Martínez,diego.santos.martinez3@gmail.com,,19/12/1951,SanSalvador,vip,genero_vacio
598,Carmen López Aguilar,carmen.lopez.aguilar3@correo.com,,1986/03/12,Sonso,Pyme,genero_vacio
602,Jorge Martínez Flores,jorge.martinez.flores0@seguro.sv,,30-03-1952,Sta. Ana,PREMIUM,genero_vacio
606,Juan Aguilar Mendoza,juan.aguilar.mendoza4@seguro.sv,,1943-01-06,LaLibertad,PREMIUM,genero_vacio
609,Lucía Gómez Vásquez,lucia.gomez.vasquez0@mail.com,m,1996-03-26,L. Libertad,,segmento_vacio
610,Juan Castillo Rojas,juan.castillo.rojas1@gmail.com,Hombre,2007/07/18,Santa Ana,,segmento_vacio
611,Marta Martínez Mendoza,marta.martinez.mendoza2@mail.com,M,11-07-2000,SanMiguel,,segmento_vacio
614,Daniela Rojas Flores,daniela.rojas.flores5@example.com,,19-11-1944, Sonsonate,vip,genero_vacio
618,Pedro Rojas Chávez,pedro.rojas.chavez2@example.com,Masculino,2006-03-08,San salvador,,segmento_vacio
619,Marta Rojas Santos,marta.rojas.santos3@example.com,,1970/10/02, Sonsonate,PYME,genero_vacio
623,Carmen Ramírez Ortiz,carmen.ramirez.ortiz0@example.com,femenino,10/06/2003,SanMiguel,,segmento_vacio
624,Carmen Ortiz Castillo,carmen.ortiz.castillo1@seguro.sv,,24/11/1950,L. Libertad,Premium,genero_vacio
625,Ana Ortiz Mendoza,ana.ortiz.mendoza2@example.com,,09-20-69,sonsonate,,"genero_vacio,segmento_vacio"
627,Lucía Torres Cruz,lucia.torres.cruz4@example.com,F,1980/01/04, Santa Ana ,,segmento_vacio
631,Paula Rojas Chávez,paula.rojas.chavez1@seguro.sv,,22/11/1965, Sonsonate,vip,genero_vacio
636,Diego López Hernández,diego.lopez.hernandez6@mail.com,Mujer,08-09-08,Sonsonate ,,segmento_vacio
639,Andrés Vásquez Martínez,andres.vasquez.martinez2@mail.com,Hombre,02/01/1966,Santa Ana,,segmento_vacio
640,Carmen Ortiz Reyes,carmen.ortiz.reyes3@example.com,Female,05-14-68, San Salvador ,,segmento_vacio
641,Pedro Pérez López,pedro.perez.lopez4@example.com,,14-04-1952,san miguel,vip,genero_vacio
643,Andrés Chávez García,andres.chavez.garcia6@mail.com,,06-16-50,S. Miguel,Premium,genero_vacio
645,Luis Cruz Castillo,luis.cruz.castillo1@mail.com,,1951-03-31,San Salvador,PYME,genero_vacio
648,Carmen Vásquez López,carmen.vasquez.lopez4@example.com,Mujer,02-22-48,san miguel,,segmento_vacio
655,José Morales Chávez,jose.morales.chavez4@mail.com,M,21/11/1986,LaLibertad,,segmento_vacio
659,Diego Pérez López,diego.perez.lopez1@mail.com,,1948-12-07,SantaAna,,"genero_vacio,segmento_vacio"
662,José Morales Chávez,jose.morales.chavez4@seguro.sv,,1968-03-21,San salvador,,"genero_vacio,segmento_vacio"
663,Carlos Gómez Aguilar,carlos.gomez.aguilar5@seguro.sv,,1978-08-21,Sonsonate ,,"genero_vacio,segmento_vacio"
668,María Castillo Hernández,maria.castillo.hernandez3@gmail.com,femenino,1970-04-15,LaLibertad,,segmento_vacio
675,Daniela Gómez Santos,daniela.gomez.santos3@seguro.sv,Female,1984/10/13,Sonsonate ,,segmento_vacio
678,José Pérez Ramírez,jose.perez.ramirez6@example.com,,26-06-1942,Sonsonate ,Pyme,genero_vacio
